,PostalCode,Borough,Neighbourhood,address,Coordinates,latitude,longitude
0,M1B,Scarborough,"Malvern, Rouge","M1B,Scarborough,Malvern, Rouge",,,
1,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek","M1C,Scarborough,Rouge Hill, Port Union, Highland Creek",,,
2,M1E,Scarborough,"Guildwood, Morningside, West Hill","M1E,Scarborough,Guildwood, Morningside, West Hill",,,
3,M1G,Scarborough,Woburn,"M1G,Scarborough,Woburn","Woburn, Scarborough—Guildwood, Scarborough, Toronto, Golden Horseshoe, Ontario, M1H 2A2, Canada",43.7598243,-79.2252908
4,M1H,Scarborough,Cedarbrae,"M1H,Scarborough,Cedarbrae",,,
5,M1J,Scarborough,Scarborough Village,"M1J,Scarborough,Scarborough Village",,,
6,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park","M1K,Scarborough,Kennedy Park, Ionview, East Birchmount Park",,,
7,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge","M1L,Scarborough,Golden Mile, Clairlea, Oakridge",,,
8,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West","M1M,Scarborough,Cliffside, Cliffcrest, Scarborough Village West",,,
9,M1N,Scarborough,"Birch Cliff, Cliffside West","M1N,Scarborough,Birch Cliff, Cliffside West",,,
10,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre","M1P,Scarborough,Dorset Park, Wexford Heights, Scarborough Town Centre",,,
11,M1R,Scarborough,"Wexford, Maryvale","M1R,Scarborough,Wexford, Maryvale",,,
12,M1S,Scarborough,Agincourt,"M1S,Scarborough,Agincourt",,,
13,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan","M1T,Scarborough,Clarks Corners, Tam O'Shanter, Sullivan",,,
14,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East","M1V,Scarborough,Milliken, Agincourt North, Steeles East, L'Amoreaux East",,,
15,M1W,Scarborough,"Steeles West, L'Amoreaux West","M1W,Scarborough,Steeles West, L'Amoreaux West","1900, Steeles, Scarborough—Agincourt, Scarborough, Toronto, Golden Horseshoe, Ontario, M1V 5E9, Canada",43.812528,-79.30797943372593
16,M1X,Scarborough,Upper Rouge,"M1X,Scarborough,Upper Rouge",,,
17,M2H,NorthYork,Hillcrest Village,"M2H,NorthYork,Hillcrest Village",,,
18,M2J,NorthYork,"Fairview, Henry Farm, Oriole","M2J,NorthYork,Fairview, Henry Farm, Oriole",,,
19,M2K,NorthYork,Bayview Village,"M2K,NorthYork,Bayview Village",,,
20,M2L,NorthYork,"York Mills, Silver Hills","M2L,NorthYork,York Mills, Silver Hills",,,
21,M2M,NorthYork,"Willowdale, Newtonbrook","M2M,NorthYork,Willowdale, Newtonbrook",,,
22,M2N,NorthYork,"Willowdale, Willowdale East","M2N,NorthYork,Willowdale, Willowdale East",,,
23,M2P,NorthYork,York Mills West,"M2P,NorthYork,York Mills West",,,
24,M2R,NorthYork,"Willowdale, Willowdale West","M2R,NorthYork,Willowdale, Willowdale West",,,
25,M3A,NorthYork,Parkwoods,"M3A,NorthYork,Parkwoods",,,
26,M3B,NorthYork,Don Mills,"M3B,NorthYork,Don Mills",,,
